col1,col2,col3,col4,col5
L743,3051314,773PLACA,773_PLA-DEB-1,PLACA DEBRUM-1
L744,3051314,774PLACA,774_PLA-DEB-2,PLACA DEBRUM-2
L745,3051314,775PLACA,775_PLA-DEB-3,PLACA DEBRUM-3
L746,3050400,776PLACA,776_,
L747,3051722,777PLACA,777_PLA-DEB-LAT-1,PLACA DEBRUM LATERAL-1
L748,3052130,778PLACA,778_PLA-DEB-LAT-EXT-1,PLACA DEBRUM LATERAL EXTERNA-1
L749,3052130,779PLACA,779_PLA-DEB-LAT-INT-1,PLACA DEBRUM LATERAL INTERNA-1
L750,3050400,780PLACA,780_,
L751,3050400,781PLACA,781_,
L752,3051314,782PLACA,782_PLA-VEL-1,PLACA VELCRO-1
L753,3051314,783PLACA,783_PLA-VEL-2,PLACA VELCRO-2
L754,3051820,784PLACA,784_PLA-VEL-MACH-1,PLACA VELCRO MACHO-1
L755,3051820,785PLACA,785_PLA-VEL-FEME-1,PLACA VELCRO FEMEA-1
L756,3051820,786PLACA,786_PLA-VEL-MACH-2,PLACA VELCRO MACHO-2
L757,3051820,787PLACA,787_PLA-VEL-FEME-2,PLACA VELCRO FEMEA-2
L758,3050400,788PLACA,788_,
L759,3051316,789PLACA,789_PLA-TRA-1,PLACA TRASEIRO-1
L760,3051316,790PLACA,790_PLA-TRA-2,PLACA TRASEIRO-2
L761,3051725,791PLACA,791_PLA-TRA-SUP-1,PLACA TRASEIRO SUPERIOR-1
L762,3051725,792PLACA,792_PLA-TRA-SUP-2,PLACA TRASEIRO SUPERIOR-2
L763,3050400,793PLACA,793_,
L764,3050400,794PLACA,794_,
L765,3051415,795PLACA,795_PLA-APLI-1,PLACA APLIQUE-1
L766,3051415,796PLACA,796_PLA-APLI-2,PLACA APLIQUE-2
L767,3051415,797PLACA,797_PLA-APLI-3,PLACA APLIQUE-3
L768,3050400,798PLACA,798_,
L769,3051824,799PLACA,799_PLA-APLI-BIQ-1,PLACA APLIQUE-BIQUEIRA-1
L770,3050400,800PLACA,800_,
L771,3051822,801PLACA,801_PLA-APLI-GAS-1,PLACA APLIQUE-GASPEA-1
L772,3051822,802PLACA,802_PLA-APLI-GAS-2,PLACA APLIQUE-GASPEA-2
L773,3050400,803PLACA,803_,
L774,3051924,804PLACA,804_PLA-APLI-LING-1,PLACA APLIQUE-LINGUETA-1
L775,3051924,805PLACA,805_PLA-APLI-LING-2,PLACA APLIQUE-LINGUETA-2
L776,3050400,806PLACA,806_,
L777,3051921,807PLACA,807_PLA-APLI-VIST-1,PLACA APLIQUE-VISTA-1
L778,3051921,808PLACA,808_PLA-APLI-VIST-2,PLACA APLIQUE-VISTA-2
L779,3050400,809PLACA,809_,
L780,3050400,810PLACA,810_,
L781,3051820,811PLACA,811_PLA-APLI-LOG-1,PLACA APLIQUE-LOGO-1
L782,3051820,812PLACA,812_PLA-APLI-LOG-2,PLACA APLIQUE-LOGO-2
L783,3050400,813PLACA,813_,
L784,3051824,814PLACA,814_PLA-APLI-TRA-1,PLACA APLIQUE-TRASEIRO-1
L785,3051824,815PLACA,815_PLA-APLI-TRA-2,PLACA APLIQUE-TRASEIRO-2
L786,3050400,816PLACA,816_,
L787,3050400,817PLACA,817_,
L788,3050400,818PLACA,818_,
L789,3050400,819PLACA,819_,
L790,3050400,820PLACA,820_,
L791,3050400,821PLACA,821_,
L792,3050400,822PLACA,822_,
L793,3050400,823PLACA,823_,
L794,3050400,824PLACA,824_,
L795,3050400,825PLACA,825_,
L796,3071009,826ARMACAO,826_ARMC-1,ARMACAO-1
L797,3071009,827ARMACAO,827_ARMC-2,ARMACAO-2
L798,3071009,828ARMACAO,828_ARMC-3,ARMACAO-3
L799,3071009,829ARMACAO,829_ARMC-4,ARMACAO-4
L800,3070400,830ARMACAO,830_,
L801,3070400,831ARMACAO,831_,
L802,3071009,832ARMALON,832_ARML-1,ARMALON-1
L803,3071009,833ARMALON,833_ARML-2,ARMALON-2
L804,3071009,834ARMALON,834_ARML-3,ARMALON-3
L805,3071009,835ARMALON,835_ARML-4,ARMALON-4
L806,3070400,836ARMALON,836_,
L807,3070400,837ARMALON,837_,
L808,3061008,838CORDAO,838_CORD-1,CORDAO-1
L809,3061008,839CORDAO,839_CORD-2,CORDAO-2
L810,3061008,840CORDAO,840_CORD-3,CORDAO-3
L811,3060400,841CORDAO,841_,
L812,3060400,842CORDAO,842_,
L813,3060908,843ZIPPER,843_ZIP-1,ZIPPER-1
L814,3060908,844ZIPPER,844_ZIP-2,ZIPPER-2
L815,3060908,845ZIPPER,845_ZIP-3,ZIPPER-3
L816,3060400,846ZIPPER,846_,
L817,3060400,847ZIPPER,847_,
L818,3061417,848ZIPPER,848_PROT-ZIP-1,PROTETOR ZIPPER-1
L819,3061417,849ZIPPER,849_PROT-ZIP-2,PROTETOR ZIPPER-2
L820,3061417,850ZIPPER,850_PROT-ZIP-3,PROTETOR ZIPPER-3
L821,3060400,851ZIPPER,851_,
L822,3060400,852ZIPPER,852_,
L823,3060400,853ZIPPER,853_,
L824,3051717,854PAPEL,854_PAP-ME-TACK-1,PAPEL MEGA TACK-1
L825,3051717,855PAPEL,855_PAP-ME-TACK-2,PAPEL MEGA TACK-2
L826,3051717,856PAPEL,856_PAP-ME-TACK-3,PAPEL MEGA TACK-3
L827,3050400,857PAPEL,857_,
L828,3050400,858PAPEL,858_,
L829,3051418,859PAPEL,859_PAP-SILI-1,PAPEL SILICONADO-1
L830,3051418,860PAPEL,860_PAP-SILI-2,PAPEL SILICONADO-2
L831,3051418,861PAPEL,861_PAP-SILI-3,PAPEL SILICONADO-3
L832,3050400,862PAPEL,862_,
L833,3050400,863PAPEL,863_,
L834,3050400,864PAPEL,864_,
L835,3041412,865SOLA,865_PLA-SOLA-1,PLACA SOLA-1
L836,3040400,866SOLA,866_,
L837,3040400,867SOLA,867_,
L838,3041006,868SOLA,868_SOLA-1,SOLA-1
L839,3041006,869SOLA,869_SOLA-2,SOLA-2
L840,3040400,870SOLA,870_,
L841,3040400,871SOLA,871_,
L842,3042020,872SOLA,872_PLA-APLIQ-SOLA-1,PLACA APLIQUE SOLA-1
L843,3042020,873SOLA,873_PLA-APLIQ-SOLA-2,PLACA APLIQUE SOLA-2
L844,3040400,874SOLA,874_,
L845,3040400,875SOLA,875_,
L846,3041517,876SOLA,876_ENCH-SOLA-1,ENCHIMENTO SOLA-1
L847,3041517,877SOLA,877_ENCH-SOLA-2,ENCHIMENTO SOLA-2
L848,3040400,878SOLA,878_,
L849,3040400,879SOLA,879_,
L850,3040906,880SOLA,880_VIR-1,VIRA-1
L851,3040906,881SOLA,881_VIR-2,VIRA-2
L852,3040400,882SOLA,882_,
L853,3040400,883SOLA,883_,
L854,3041320,884SOLA,884_SOB-BIQ-1,SOBREVIRA BIQUEIRA-1
L855,3040400,885SOLA,885_,
L856,3040400,886SOLA,886_,
L857,3041320,887SOLA,887_SOB-TRA-1,SOBREVIRA TRASEIRO-1
L858,3040400,888SOLA,888_,
L859,3040400,889SOLA,889_,
L860,3041515,890SOLA,890_ETIQ-SOLA-1,ETIQUETA SOLA-1
L861,3040400,891SOLA,891_,
L862,3040400,892SOLA,892_,
L863,3040400,893SOLA,893_,
L864,3040400,894SOLA,894_,
L865,3040400,895SOLA,895_,
L866,3040400,896SOLA,896_,
L867,3040400,897SOLA,897_,
L868,3040400,898SOLA,898_,
L869,3040400,899SOLA,899_,
L870,3081316,900PALMILHA,900_PLA-PAL-1,PLACA PALMILHA-1
L871,3080400,901PALMILHA,901_,
L872,3080400,902PALMILHA,902_,
L873,3080400,903PALMILHA,903_,
L874,3081419,904PALMILHA,904_PAL-OVER-1,PALMILHA OVERLOCK-1
L875,3081419,905PALMILHA,905_PAL-OVER-2,PALMILHA OVERLOCK-2
L876,3080400,906PALMILHA,906_,
L877,3080400,907PALMILHA,907_,
L878,3081318,908PALMILHA,908_PAL-INT-1,PALMILHA INTERNA-1
L879,3081318,909PALMILHA,909_PAL-INT-2,PALMILHA INTERNA-2
L880,3080400,910PALMILHA,910_,
L881,3080400,911PALMILHA,911_,
L882,3081318,912PALMILHA,912_REF-PAL-1,REFORCO PALMILHA-1
L883,3081318,913PALMILHA,913_REF-PAL-2,REFORCO PALMILHA-2
L884,3080400,914PALMILHA,914_,
L885,3080400,915PALMILHA,915_,
L886,3081419,916PALMILHA,916_PAL-MONT-1,PALMILHA MONTAGEM-1
L887,3081419,917PALMILHA,917_PAL-MONT-2,PALMILHA MONTAGEM-2
L888,3080400,918PALMILHA,918_,
L889,3080400,919PALMILHA,919_,
L890,3080400,920PALMILHA,920_,
L891,3080400,921PALMILHA,921_,
L892,3080400,922PALMILHA,922_,
L893,3080400,923PALMILHA,923_,
L894,3080400,924PALMILHA,924_,
L895,3080400,925PALMILHA,925_,
L896,3050400,926LIVRE,926_,
L897,3050400,927LIVRE,927_,
L898,3050400,928LIVRE,928_,
L899,3050400,929LIVRE,929_,
L900,3050400,930LIVRE,930_,
L901,3050400,931LIVRE,931_,
L902,3050400,932LIVRE,932_,
L903,3050400,933LIVRE,933_,
L904,3050400,934LIVRE,934_,
